LineId,Time,Program,Content,EventId,EventTemplate,ParameterList
29,07.27 09:25:28,chrome.exe *64,"clients6.google.com:443 close, 10184 bytes (9.94 KB) sent, 6081 bytes (5.93 KB) received, lifetime 10:02",0dc9f004,"<*> close, <*> bytes (<*> <*>) sent, <*> bytes <*> <*>) received, lifetime <*>","['clients6.google.com:443', '10184', '9.94 KB', '6081', '(5.93 KB', '10:02']"
30,07.27 09:25:48,SohuNews.exe,info.pinyin.sogou.com:80 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['info.pinyin.sogou.com:80', 'proxy.cse.cuhk.edu.hk:5070']"
31,07.27 09:25:57,SGTool.exe,p3p.sogou.com:80 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['p3p.sogou.com:80', 'proxy.cse.cuhk.edu.hk:5070']"
32,07.27 09:25:57,SGTool.exe,"p3p.sogou.com:80 close, 441 bytes sent, 139 bytes received, lifetime <1 sec",dff2fdce,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","['p3p.sogou.com:80', '441', '139', '<1 sec']"
33,07.27 09:26:19,SohuNews.exe,"info.pinyin.sogou.com:80 close, 1153 bytes (1.12 KB) sent, 851 bytes received, lifetime 00:31",3ced113c,"<*> close, <*> bytes (<*> <*>) sent, <*> bytes received, lifetime <*>","['info.pinyin.sogou.com:80', '1153', '1.12 KB', '851', '00:31']"
34,07.27 09:26:29,chrome.exe *64,play.google.com:443 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['play.google.com:443', 'proxy.cse.cuhk.edu.hk:5070']"
35,07.27 09:26:29,chrome.exe *64,play.google.com:443 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['play.google.com:443', 'proxy.cse.cuhk.edu.hk:5070']"
36,07.27 09:26:59,chrome.exe *64,"13.client-channel.google.com:443 close, 16474 bytes (16.0 KB) sent, 41463 bytes (40.4 KB) received, lifetime 01:06:35",0dc9f004,"<*> close, <*> bytes (<*> <*>) sent, <*> bytes <*> <*>) received, lifetime <*>","['13.client-channel.google.com:443', '16474', '16.0 KB', '41463', '(40.4 KB', '01:06:35']"
37,07.27 09:27:30,chrome.exe *64,clients6.google.com:443 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['clients6.google.com:443', 'proxy.cse.cuhk.edu.hk:5070']"
38,07.27 09:27:30,chrome.exe *64,clients6.google.com:443 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['clients6.google.com:443', 'proxy.cse.cuhk.edu.hk:5070']"
39,07.27 09:27:35,chrome.exe *64,safebrowsing.googleapis.com:443 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['safebrowsing.googleapis.com:443', 'proxy.cse.cuhk.edu.hk:5070']"
40,07.27 09:29:17,chrome.exe *64,"clients4.google.com:443 close, 2947 bytes (2.87 KB) sent, 5223 bytes (5.10 KB) received, lifetime 04:00",0dc9f004,"<*> close, <*> bytes (<*> <*>) sent, <*> bytes <*> <*>) received, lifetime <*>","['clients4.google.com:443', '2947', '2.87 KB', '5223', '(5.10 KB', '04:00']"
41,07.27 09:30:14,chrome.exe *64,clientservices.googleapis.com:443 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['clientservices.googleapis.com:443', 'proxy.cse.cuhk.edu.hk:5070']"
42,07.27 09:30:24,chrome.exe *64,www.evernote.com:443 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['www.evernote.com:443', 'proxy.cse.cuhk.edu.hk:5070']"
43,07.27 09:30:37,Dropbox.exe,client-lb.dropbox.com:443 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['client-lb.dropbox.com:443', 'proxy.cse.cuhk.edu.hk:5070']"
44,07.27 09:30:37,Dropbox.exe,"client-lb.dropbox.com:443 close, 0 bytes sent, 0 bytes received, lifetime <1 sec",dff2fdce,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","['client-lb.dropbox.com:443', '0', '0', '<1 sec']"
45,07.27 09:30:37,Dropbox.exe,block.dropbox.com:443 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['block.dropbox.com:443', 'proxy.cse.cuhk.edu.hk:5070']"
46,07.27 09:30:37,Dropbox.exe,"block.dropbox.com:443 close, 0 bytes sent, 0 bytes received, lifetime <1 sec",dff2fdce,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","['block.dropbox.com:443', '0', '0', '<1 sec']"
47,07.27 09:30:54,Dropbox.exe,d.dropbox.com:443 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['d.dropbox.com:443', 'proxy.cse.cuhk.edu.hk:5070']"
48,07.27 09:30:54,Dropbox.exe,log.getdropbox.com:80 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['log.getdropbox.com:80', 'proxy.cse.cuhk.edu.hk:5070']"
49,07.27 09:30:55,Dropbox.exe,"log.getdropbox.com:80 close, 767 bytes sent, 404 bytes received, lifetime 00:01",dff2fdce,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","['log.getdropbox.com:80', '767', '404', '00:01']"
50,07.27 09:30:55,Dropbox.exe,client-cf.dropbox.com:443 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['client-cf.dropbox.com:443', 'proxy.cse.cuhk.edu.hk:5070']"
51,07.27 09:31:35,chrome.exe *64,"safebrowsing.googleapis.com:443 close, 1847 bytes (1.80 KB) sent, 2698 bytes (2.63 KB) received, lifetime 04:00",0dc9f004,"<*> close, <*> bytes (<*> <*>) sent, <*> bytes <*> <*>) received, lifetime <*>","['safebrowsing.googleapis.com:443', '1847', '1.80 KB', '2698', '(2.63 KB', '04:00']"
52,07.27 09:31:56,Dropbox.exe,"client-cf.dropbox.com:443 close, 1573 bytes (1.53 KB) sent, 16742 bytes (16.3 KB) received, lifetime 01:01",0dc9f004,"<*> close, <*> bytes (<*> <*>) sent, <*> bytes <*> <*>) received, lifetime <*>","['client-cf.dropbox.com:443', '1573', '1.53 KB', '16742', '(16.3 KB', '01:01']"
53,07.27 09:32:04,Dropbox.exe,"d.dropbox.com:443 close, 2442 bytes (2.38 KB) sent, 5426 bytes (5.29 KB) received, lifetime 01:10",0dc9f004,"<*> close, <*> bytes (<*> <*>) sent, <*> bytes <*> <*>) received, lifetime <*>","['d.dropbox.com:443', '2442', '2.38 KB', '5426', '(5.29 KB', '01:10']"
54,07.27 09:34:01,chrome.exe *64,clients4.google.com:443 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['clients4.google.com:443', 'proxy.cse.cuhk.edu.hk:5070']"
55,07.27 09:34:14,chrome.exe *64,"clientservices.googleapis.com:443 close, 789 bytes sent, 4588 bytes (4.48 KB) received, lifetime 04:00",562370b9,"<*> close, <*> bytes sent, <*> bytes (<*> <*>) received, lifetime <*>","['clientservices.googleapis.com:443', '789', '4588', '4.48 KB', '04:00']"
56,07.27 09:34:24,chrome.exe *64,"www.evernote.com:443 close, 2486 bytes (2.42 KB) sent, 2338 bytes (2.28 KB) received, lifetime 04:00",0dc9f004,"<*> close, <*> bytes (<*> <*>) sent, <*> bytes <*> <*>) received, lifetime <*>","['www.evernote.com:443', '2486', '2.42 KB', '2338', '(2.28 KB', '04:00']"
57,07.27 09:34:31,chrome.exe *64,"play.google.com:443 close, 3873 bytes (3.78 KB) sent, 2042 bytes (1.99 KB) received, lifetime 08:02",0dc9f004,"<*> close, <*> bytes (<*> <*>) sent, <*> bytes <*> <*>) received, lifetime <*>","['play.google.com:443', '3873', '3.78 KB', '2042', '(1.99 KB', '08:02']"
58,07.27 09:34:34,chrome.exe *64,"clients6.google.com:443 close, 2987 bytes (2.91 KB) sent, 5913 bytes (5.77 KB) received, lifetime 07:04",0dc9f004,"<*> close, <*> bytes (<*> <*>) sent, <*> bytes <*> <*>) received, lifetime <*>","['clients6.google.com:443', '2987', '2.91 KB', '5913', '(5.77 KB', '07:04']"
59,07.27 09:34:47,chrome.exe *64,"clients6.google.com:443 close, 5992 bytes (5.85 KB) sent, 8751 bytes (8.54 KB) received, lifetime 07:17",0dc9f004,"<*> close, <*> bytes (<*> <*>) sent, <*> bytes <*> <*>) received, lifetime <*>","['clients6.google.com:443', '5992', '5.85 KB', '8751', '(8.54 KB', '07:17']"
60,07.27 09:39:31,chrome.exe *64,clients6.google.com:443 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['clients6.google.com:443', 'proxy.cse.cuhk.edu.hk:5070']"
61,07.27 09:39:42,chrome.exe *64,"mtalk.google.com:443 close, 696 bytes sent, 5019 bytes (4.90 KB) received, lifetime 15:00",562370b9,"<*> close, <*> bytes sent, <*> bytes (<*> <*>) received, lifetime <*>","['mtalk.google.com:443', '696', '5019', '4.90 KB', '15:00']"
62,07.27 09:39:42,chrome.exe *64,"mtalk.google.com:5228 error : Could not connect through proxy proxy.cse.cuhk.edu.hk:5070 - Proxy server cannot establish a connection with the target, status code 403",2b71c77d,"<*> error : Could not connect through proxy <*> - Proxy server cannot establish a connection with the target, status code <*>","['mtalk.google.com:5228', 'proxy.cse.cuhk.edu.hk:5070', '403']"
63,07.27 09:39:43,chrome.exe *64,"mtalk.google.com:5228 error : Could not connect through proxy proxy.cse.cuhk.edu.hk:5070 - Proxy server cannot establish a connection with the target, status code 403",2b71c77d,"<*> error : Could not connect through proxy <*> - Proxy server cannot establish a connection with the target, status code <*>","['mtalk.google.com:5228', 'proxy.cse.cuhk.edu.hk:5070', '403']"
64,07.27 09:40:10,chrome.exe *64,mtalk.google.com:443 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['mtalk.google.com:443', 'proxy.cse.cuhk.edu.hk:5070']"
65,07.27 09:40:31,chrome.exe *64,"play.google.com:443 close, 9984 bytes (9.75 KB) sent, 11228 bytes (10.9 KB) received, lifetime 14:02",0dc9f004,"<*> close, <*> bytes (<*> <*>) sent, <*> bytes <*> <*>) received, lifetime <*>","['play.google.com:443', '9984', '9.75 KB', '11228', '(10.9 KB', '14:02']"
66,07.27 09:45:24,chrome.exe *64,www.evernote.com:443 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['www.evernote.com:443', 'proxy.cse.cuhk.edu.hk:5070']"
67,07.27 09:45:38,Dropbox.exe,client-lb.dropbox.com:443 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['client-lb.dropbox.com:443', 'proxy.cse.cuhk.edu.hk:5070']"
68,07.27 09:45:38,Dropbox.exe,"client-lb.dropbox.com:443 close, 0 bytes sent, 0 bytes received, lifetime <1 sec",dff2fdce,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","['client-lb.dropbox.com:443', '0', '0', '<1 sec']"
69,07.27 09:45:38,Dropbox.exe,block.dropbox.com:443 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['block.dropbox.com:443', 'proxy.cse.cuhk.edu.hk:5070']"
70,07.27 09:45:38,Dropbox.exe,"block.dropbox.com:443 close, 0 bytes sent, 0 bytes received, lifetime <1 sec",dff2fdce,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","['block.dropbox.com:443', '0', '0', '<1 sec']"
71,07.27 09:48:46,SohuNews.exe,txt.go.sohu.com:80 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['txt.go.sohu.com:80', 'proxy.cse.cuhk.edu.hk:5070']"
72,07.27 09:48:46,SohuNews.exe,www.sohu.com:80 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['www.sohu.com:80', 'proxy.cse.cuhk.edu.hk:5070']"
73,07.27 09:48:46,SohuNews.exe,i0.itc.cn:80 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['i0.itc.cn:80', 'proxy.cse.cuhk.edu.hk:5070']"
74,07.27 09:48:46,SohuNews.exe,css.sohu.com:80 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['css.sohu.com:80', 'proxy.cse.cuhk.edu.hk:5070']"
75,07.27 09:48:46,SohuNews.exe,css.sohu.com:80 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['css.sohu.com:80', 'proxy.cse.cuhk.edu.hk:5070']"
76,07.27 09:48:46,SohuNews.exe,i1.itc.cn:80 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['i1.itc.cn:80', 'proxy.cse.cuhk.edu.hk:5070']"
77,07.27 09:48:46,SohuNews.exe,i1.itc.cn:80 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['i1.itc.cn:80', 'proxy.cse.cuhk.edu.hk:5070']"
78,07.27 09:48:46,SohuNews.exe,img.mp.itc.cn:80 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['img.mp.itc.cn:80', 'proxy.cse.cuhk.edu.hk:5070']"
79,07.27 09:48:46,SohuNews.exe,d1.biz.itc.cn:80 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['d1.biz.itc.cn:80', 'proxy.cse.cuhk.edu.hk:5070']"
80,07.27 09:48:46,SohuNews.exe,imp.go.sohu.com:80 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['imp.go.sohu.com:80', 'proxy.cse.cuhk.edu.hk:5070']"
81,07.27 09:48:46,SohuNews.exe,i2.itc.cn:80 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['i2.itc.cn:80', 'proxy.cse.cuhk.edu.hk:5070']"
82,07.27 09:48:46,SohuNews.exe,i2.itc.cn:80 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['i2.itc.cn:80', 'proxy.cse.cuhk.edu.hk:5070']"
83,07.27 09:48:46,SohuNews.exe,i2.itc.cn:80 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['i2.itc.cn:80', 'proxy.cse.cuhk.edu.hk:5070']"
84,07.27 09:48:46,SohuNews.exe,i2.itc.cn:80 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['i2.itc.cn:80', 'proxy.cse.cuhk.edu.hk:5070']"
85,07.27 09:48:46,SohuNews.exe,xy.brand.sogou.com:80 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['xy.brand.sogou.com:80', 'proxy.cse.cuhk.edu.hk:5070']"
86,07.27 09:48:46,SohuNews.exe,s7.sinaimg.cn:80 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['s7.sinaimg.cn:80', 'proxy.cse.cuhk.edu.hk:5070']"
87,07.27 09:48:47,SohuNews.exe,images.sohu.com:80 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['images.sohu.com:80', 'proxy.cse.cuhk.edu.hk:5070']"
88,07.27 09:48:47,SohuNews.exe,images.sohu.com:80 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['images.sohu.com:80', 'proxy.cse.cuhk.edu.hk:5070']"
89,07.27 09:48:47,SohuNews.exe,js.mail.sohu.com:80 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['js.mail.sohu.com:80', 'proxy.cse.cuhk.edu.hk:5070']"
90,07.27 09:48:47,SohuNews.exe,www.niuxiao.net:80 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['www.niuxiao.net:80', 'proxy.cse.cuhk.edu.hk:5070']"
91,07.27 09:48:47,SohuNews.exe,js.mail.sohu.com:80 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['js.mail.sohu.com:80', 'proxy.cse.cuhk.edu.hk:5070']"
92,07.27 09:48:48,SohuNews.exe,photocdn.sohu.com:80 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['photocdn.sohu.com:80', 'proxy.cse.cuhk.edu.hk:5070']"
93,07.27 09:48:48,SohuNews.exe,i2.itc.cn:80 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['i2.itc.cn:80', 'proxy.cse.cuhk.edu.hk:5070']"
94,07.27 09:48:49,SohuNews.exe,p0.ifengimg.com:80 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['p0.ifengimg.com:80', 'proxy.cse.cuhk.edu.hk:5070']"
95,07.27 09:48:49,SohuNews.exe,img01.sogoucdn.com:80 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['img01.sogoucdn.com:80', 'proxy.cse.cuhk.edu.hk:5070']"
96,07.27 09:48:49,SohuNews.exe,pv.mini.sohu.com:80 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['pv.mini.sohu.com:80', 'proxy.cse.cuhk.edu.hk:5070']"
97,07.27 09:48:49,SohuNews.exe,img0.ph.126.net:80 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['img0.ph.126.net:80', 'proxy.cse.cuhk.edu.hk:5070']"
98,07.27 09:48:49,SohuNews.exe,pv.mini.sohu.com:80 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['pv.mini.sohu.com:80', 'proxy.cse.cuhk.edu.hk:5070']"
99,07.27 09:48:49,SohuNews.exe,"images.sohu.com:80 close, 0 bytes sent, 0 bytes received, lifetime 00:02",dff2fdce,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","['images.sohu.com:80', '0', '0', '00:02']"
100,07.27 09:48:49,SohuNews.exe,img01.sogoucdn.com:443 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['img01.sogoucdn.com:443', 'proxy.cse.cuhk.edu.hk:5070']"
